,company_location,count
0,U.S.A.,764
1,France,156
2,Canada,125
3,England,96
4,Italy,63
5,Ecuador,54
6,Australia,49
7,Belgium,40
8,Switzerland,38
9,Germany,35
10,Austria,26
11,Spain,25
12,Colombia,23
13,Hungary,22
14,Venezuela,20
15,Peru,17
16,New Zealand,17
17,Brazil,17
18,Madagascar,17
19,Japan,17
20,Denmark,15
21,Vietnam,11
22,Scotland,10
23,Guatemala,10
24,Israel,9
25,Argentina,9
26,Costa Rica,9
27,Netherlands,8
28,Poland,8
29,Honduras,6
30,Lithuania,6
31,Nicaragua,6
32,Dominican Republic,5
33,South Korea,5
34,Sweden,5
35,Puerto Rico,4
36,Sao Tome,4
37,Ireland,4
38,Fiji,4
39,Mexico,4
40,Portugal,3
41,Singapore,3
42,South Africa,3
43,Grenada,3
44,Iceland,3
45,Finland,2
46,Chile,2
47,Bolivia,2
48,St. Lucia,2
49,Suriname,1
50,Czech Republic,1
51,India,1
52,Eucador,1
53,Russia,1
54,Philippines,1
55,Martinique,1
56,Ghana,1
57,Wales,1
